医疗机构名称,本地机构编码,医保区划,机构类别,医院等级,联系地址
北京市平谷区山东庄镇桥头营村卫生室,17106726,平谷区,村卫生室,无等级,北京市平谷区山东庄镇桥头营大街23号
北京市平谷区刘家店镇东山下村卫生室,17106803,平谷区,村卫生室,无等级,北京市平谷区刘家店镇东山下村西路甲1号
北京市平谷区山东庄镇李辛庄村卫生室,17106725,平谷区,村卫生室,无等级,北京市平谷区山东庄镇李辛庄村委会东边小公园内
北京市平谷区金海湖镇晏庄村卫生室,17106798,平谷区,村卫生室,无等级,北京市平谷区金海湖镇晏庄村东口大牌楼处
北京市平谷区刘家店镇辛庄子村卫生室,17106807,平谷区,村卫生室,无等级,北京市平谷区刘家店镇辛庄子村委会东侧
北京市平谷区刘家店镇江米洞村卫生室,17106802,平谷区,村卫生室,无等级,北京市平谷区刘家店镇江米洞村江米洞路47号
北京市平谷区金海湖镇罗汉石村卫生室,17106791,平谷区,村卫生室,无等级,北京市平谷区金海湖镇罗汉石大街160号
北京市平谷区刘家店镇胡家店村卫生室,17106805,平谷区,村卫生室,无等级,北京市平谷区刘家店镇胡家店村村委会
北京市平谷区刘家店镇凤落滩村卫生室,17106804,平谷区,村卫生室,无等级,北京市平谷区刘家店镇凤落滩大街1号
北京市平谷区山东庄镇大坎村卫生室,17106727,平谷区,村卫生室,无等级,北京市平谷区山东庄镇大坎北街19号
北京市平谷区金海湖镇黄草洼村卫生室,17106793,平谷区,村卫生室,无等级,北京市平谷区金海湖镇黄草洼村南
北京市平谷区金海湖镇向阳村卫生室,17106790,平谷区,村卫生室,无等级,北京市平谷区金海湖镇向阳村路34号
北京市平谷区熊儿寨乡北土门村卫生室,17106747,平谷区,村卫生室,无等级,北京市平谷区熊儿寨乡北土门村委会往西大约300米
北京市平谷区熊儿寨乡魏家湾村卫生室,17106752,平谷区,村卫生室,无等级,北京市平谷区熊儿寨乡魏家湾村委会往西10米
北京市平谷区熊儿寨乡南岔村卫生室,17106751,平谷区,村卫生室,无等级,北京市平谷区熊儿寨乡南岔村112号
北京市平谷区熊儿寨乡老泉口村卫生室,17106750,平谷区,村卫生室,无等级,北京市平谷区熊儿寨乡老泉口村127号
北京市平谷区王辛庄镇许家务村卫生室,17106735,平谷区,村卫生室,无等级,北京市平谷区王辛庄镇许家务村大街公厕南50米
